Country,Topic-of-the-Week,# of tweets
AE,السعودية,4
AE,uae,2
AE,ALDUBxEBLoveis,1
AE,Reston,1
AE,Trumps,1
AR,SantiagoSeAhogó,6
AR,trndnl,4
AR,MALDONADOLAGRANMENTIRAK,3
AR,GC600,2
AR,SCCArg,2
AT,autumnal,1
AT,herbst,1
AT,runnerscommunity,1
AT,running,1
AT,sonyalpha,1
AU,trndnl,6
AU,Hottie,2
AU,Page3,2
AU,SophieHoward,2
AU,Victoria,2
AZ,ady,1
AZ,alstom,1
AZ,deal,1
BE,E411,1
BE,FACTS2017,1
BE,bruges,1
BE,church,1
BE,photooftheday,1
BH,ويبقى_الحُسين,1
BI,Ndadaye,1
BJ,4コマ漫画,1
BR,Zumbicando,4
BR,GoianiaEmLuto,2
BR,SabadoDetremuraSDV,2
BR,Afazenda,1
BR,BlitzAlerta,1
BY,победитель,1
CA,Weather,3
CA,NowPlaying,2
CA,Toronto,2
CA,CBU,1
CA,CapeBreton,1
CH,CU,1
CH,ImmoYou,1
CH,Immobilien,1
CH,LeNaaba,1
CH,artfair,1
CL,LosArtesanos,1
CL,PabloNeruda,1
CL,Tequila,1
CN,700c,1
CN,CareerArc,1
CN,Hiring,1
CN,Job,1
CN,Jobs,1
CO,AMF2017,1
CO,DJMag,1
CO,EyeOfChild,1
CO,Halloween,1
CR,BUNDESLIGAxESPN,1
CR,SerieAxESPN,1
CY,Kahvalti,1
DE,ALDUBxEBLoveis,48
DE,nowplaying,3
DE,GER,2
DE,Berlin,1
DE,Brandenburg,1
DK,Billicout,1
DK,COYI,1
DK,LsOnVacation,1
DK,twitterhjerne,1
EC,Top3Apps,1
EE,EarthAngels,1
EG,الشعب_الجيش_الشرطه,1
EG,الله_يحبك,1
EG,حق_الشهيد,1
EG,شهداء_معركة_الواحات,1
EG,مصرمصرمصر,1
ES,OmplimRAC1,3
ES,BilbaoNightMarathon,2
ES,RunjoyBilbao,2
ES,Stigmabase,2
ES,contrataciónpública,2
FI,Imatra,1
FI,JHLry,1
FI,Mikkeli,1
FI,Tobleronegate,1
FI,Tänään,1
FM,Photo,1
FM,Photography,1
FM,Pohnpei,1
FM,Sunset,1
FR,chien,28
FR,trouvé,15
FR,perdu,13
FR,JePariePSG,3
FR,sulfoxaflor,2
GB,job,9
GB,CareerArc,6
GB,hiring,6
GB,Hiring,5
GB,Job,5
GH,carry,3
GH,ENTLIVE,1
GH,HomeAffairs,1
GH,SJ,1
GH,YourMusicPlayStation,1
GI,Iberia,1
GI,StormBrian,1
GR,ALDUBxEBLoveis,1
GR,Endomondo,1
GR,Top3Apps,1
GR,endorphins,1
GR,morgen,1
GT,Top3Apps,1
HK,ALDUBxEBLoveis,1
HK,Cantonese,1
HK,CareerArc,1
HK,HKG,1
HK,Hiring,1
HR,vitorla,1
HR,vitorlásoktatás,1
HR,vitorlástanfolyam,1
HR,vitorlástúra,1
HR,vitorlázás,1
ID,AndaBisa,4
ID,CNIextravaganza2017,4
ID,LebihBaik,4
ID,NP,4
ID,SayaDukungDenayuAmeliaBisa,4
IE,stormbrian,2
IE,Cork,1
IE,DontThrowAwayPringles,1
IE,Dublin,1
IE,FiannaFail,1
IN,BhaiDooj,6
IN,Nov8BlackDay,6
IN,Mersal,5
IN,NayeRishteNayeVaade,3
IN,mersal,3
IQ,Everyone,1
IQ,goodmorning,1
IR,nofilter,1
IT,omnibusla7,6
IT,UnAnnoDiZeroPositivo,2
IT,breakfast,2
IT,buongiorno,2
IT,21ottobre,1
